Ticket;Nombre comun;Fecha;evento;Ciudad;Vereda;Arboles;Hectareas
578;pomos, Guayacán Amarillo, Guayacan Rosado, Alcaparro Gigante, Acacia Roja, Alcaparro Enano, Cámbulo, Chirlobirlo, Nogal Cafetero;08/19/2019 12:00:00 AM;Campaña bosques Propios Rurales - Tejiendo Caminos;Medellín;Volcana Guayabal;4665;9.33
706;ARDISIA, CACAO, CASEARIA VARABLANCA, CHICALA, FRANCESINO, grosello, MATARATON, NEEM, Guayacán Amarillo, Arrayán, Suribio, Alcaparro Enano, Barcino, Chocho, Jazmin de Noche, Laurel 1, Mestizo, Ojo de Pava, Chocho Rojo, Guamo Liso, Arrayan de Hoja Ancha, Balso, Algarrobo, Chagualo, Chirlobirlo, Aguacatillo, Nogal Cafetero, Roble;10/12/2020 0:00;SEMBRATON CERRO MEDELLIN;Medellín;Expansion Urbana;720;1.44
1773;Cedro, Chocho Alcaparro, Guamo Machete, Hobo, Nadador, olivo de cera, Pavo Tabaquillo, Tabaquillo, Aliso, Chachafruto;09/15/2021 12:00:00 AM;Obligación Contractual;Medellín;Expansion Urbana;15;0.03
229;Mango;11/07/2020 0:00;Cada uno un árbol;Medellín;Expansion Urbana;1;0.002
223;Guayacán Amarillo, Tulipan africano;11/07/2020 0:00;Cada uno un árbol;Medellín;Jalisco;2;0.004
1195;Yarumo Negro, Carbonero;09/26/2021 12:00:00 AM;Obligación Contractual;Amagá;Camilo C;20;0.04
1211;Cedro Rojo, Cámbulo, Yarumo Blanco, Chicalas;10/10/2021 0:00;Obligación Contractual;Amagá;Camilo C;90;0.18
2267;Roble;11/11/2021 0:00;SEMBRATON APOYO;Amagá;Malabrigo;3000;6
172;Guayabo Comun;10/01/2020 0:00;sembraton la gurria;Amalfi;Cabecera Municipal;300;0.6
1858;Cedro, Suribio, Casco de Vaca, Vara Santa, Dinde, Payandé, Móncoro, Ceiba rosada, Samán;11/10/2021 0:00;Obligación Contractual;Amalfi;El Taparo;30;0.06
683;Guayacán de Manizalez, Acacia Rosada;02/23/2021 12:00:00 AM;Convenio 040-cov2009-116 JAC LA MARIA;Amalfi;La Maria;65;0.13
694;Cedro de Altura, Guayacán de Manizalez, Acacia Rosada, Pestaña de Mula, Almendro, Samán;12/22/2020 12:00:00 AM;CONVENIO 040-COV2010-155  SANEAMIENTO HIDRICO;Amalfi;La Vibora;190;0.38
1140;Quiebrabarrigo, Suribio, Matarratón, Chocho, Guadua, Samán;9/10/2021 0:00;Siembra relacionada al contrato No. 110-CNT2011-148;Amalfi;La Vibora;74;0.148
1234;Quiebrabarrigo, Matarratón, Guadua;09/17/2021 12:00:00 AM;Obligación contractual contrato 110-CNT2011-153;Amalfi;La Vibora;52;0.104
1162;Quiebrabarrigo, Suribio, Matarratón, Chocho, Guadua, Samán;09/27/2021 12:00:00 AM;Obligación contractual 110-CNT2011-148;Amalfi;La Vibora;73;0.146
1137;Quiebrabarrigo, Matarratón, Guadua;9/10/2021 0:00;Obligación contractual;Amalfi;La Vibora;53;0.106
1138;Quiebrabarrigo, Matarratón, Guadua;9/10/2021 0:00;Obligación contractual;Amalfi;La Vibora;52;0.104
1870;Guayacán Amarillo, Quiebrabarrigo, Cedro, Cedro, piñon de oreja, Mataratón, Acacia, Guamo Machete, Guayacán Amarillo, Búcaro, Caoba, Guayabo Argelino, Falsa acacia, Eugenio, Pimiento de Arbol, Balso, Samán;11/18/2021 12:00:00 AM;Obligación Contractual;Amalfi;La Vibora;2766;5.532
1235;Quiebrabarrigo, Matarratón, Guadua;09/27/2021 12:00:00 AM;Obligación contractual contrato N°110-CNT2011-153;Amalfi;La Vibora;53;0.106
